Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
1,Vanuatu, 36.45 , 63.66 , 57.26 , 35.16 , 81.19 , 55.42 
2,Tonga, 28.57 , 55.27 , 51.70 , 28.45 , 81.45 , 45.18 
3,Philippines, 27.69 , 52.46 , 52.78 , 32.97 , 80.92 , 44.45 
4,Guatemala, 20.46 , 36.30 , 56.36 , 36.82 , 80.78 , 51.48 
5,Bangladesh, 19.57 , 31.70 , 61.72 , 40.39 , 86.41 , 58.37 
6,Solomon Islands, 18.77 , 29.98 , 62.62 , 44.37 , 85.01 , 58.47 
7,Costa Rica, 17.16 , 42.61 , 40.28 , 21.81 , 64.49 , 34.55 
8,Cambodia, 16.92 , 27.65 , 61.18 , 41.69 , 86.81 , 55.04 
9,El Salvador, 16.74 , 32.60 , 51.36 , 29.64 , 75.49 , 48.96 
10,Timor-Leste, 16.37 , 25.73 , 63.61 , 52.09 , 82.18 , 56.55 
11,Papua New Guinea, 16.34 , 24.94 , 65.53 , 53.28 , 84.21 , 59.10 
12,Brunei Darussalam, 16.22 , 41.10 , 39.46 , 16.44 , 63.97 , 37.96 
13,Mauritius, 15.11 , 37.35 , 40.45 , 18.63 , 61.49 , 41.23 
14,Nicaragua, 14.88 , 27.23 , 54.64 , 36.80 , 81.35 , 45.76 
15,Fiji, 13.50 , 27.71 , 48.74 , 25.34 , 75.17 , 45.72 
16,Guinea-Bissau, 13.50 , 19.65 , 68.70 , 53.60 , 89.14 , 63.35 
17,Japan, 13.47 , 45.91 , 29.33 , 17.27 , 38.12 , 32.61 
18,Viet Nam, 12.84 , 25.35 , 50.66 , 27.22 , 76.74 , 48.01 
19,Jamaica, 12.08 , 25.82 , 46.79 , 26.50 , 72.02 , 41.86 
20,Gambia, 11.99 , 19.29 , 62.18 , 44.52 , 82.97 , 59.04 
21,Haiti, 11.89 , 16.26 , 73.11 , 62.01 , 90.62 , 66.71 
22,Chile, 11.74 , 30.95 , 37.93 , 20.25 , 58.34 , 35.20 
23,Guyana, 11.65 , 22.90 , 50.85 , 28.62 , 79.28 , 44.65 
24,Niger, 11.53 , 15.87 , 72.63 , 60.78 , 87.01 , 70.11 
25,Benin, 11.39 , 17.06 , 66.75 , 53.26 , 82.32 , 64.68 
26,Dominican Republic, 11.34 , 23.14 , 49.01 , 28.86 , 74.04 , 44.12 
27,Cameroon, 11.19 , 18.19 , 61.52 , 43.02 , 85.01 , 56.53 
28,Madagascar, 11.11 , 16.03 , 69.30 , 65.58 , 83.37 , 58.95 
29,Chad, 11.07 , 14.89 , 74.36 , 62.94 , 91.50 , 68.63 
30,Senegal, 10.86 , 17.57 , 61.82 , 46.71 , 80.95 , 57.80 
31,Honduras, 10.82 , 20.01 , 54.09 , 35.08 , 81.60 , 45.59 
32,Cape Verde, 10.51 , 20.26 , 51.89 , 34.07 , 70.46 , 51.15 
33,Indonesia, 10.49 , 19.36 , 54.19 , 32.36 , 80.94 , 49.27 
34,Togo, 10.48 , 15.56 , 67.38 , 55.67 , 85.30 , 61.17 
35,Burundi, 10.48 , 15.13 , 69.30 , 62.96 , 88.13 , 56.81 
36,Sierra Leone, 10.45 , 14.65 , 71.28 , 59.18 , 86.28 , 68.38 
37,Djibouti, 9.99 , 16.34 , 61.16 , 38.28 , 82.54 , 62.67 
38,Zimbabwe, 9.96 , 14.96 , 66.55 , 57.42 , 88.71 , 53.54 
39,Albania, 9.93 , 21.25 , 46.75 , 20.56 , 74.23 , 45.46 
40,Afghanistan, 9.69 , 13.17 , 73.61 , 56.21 , 92.82 , 71.81 
41,Burkina Faso, 9.62 , 14.32 , 67.17 , 54.76 , 84.03 , 62.71 
42,Myanmar, 9.06 , 14.87 , 60.95 , 36.23 , 88.06 , 58.55 
43,Cote d'Ivoire, 9.04 , 13.67 , 66.12 , 47.64 , 87.02 , 63.70 
44,Mozambique, 8.93 , 12.73 , 70.11 , 65.19 , 84.43 , 60.71 
45,Ghana, 8.69 , 14.48 , 60.03 , 45.58 , 77.93 , 56.57 
46,Mali, 8.68 , 12.55 , 69.14 , 54.91 , 83.66 , 68.87 
47,Uzbekistan, 8.64 , 16.18 , 53.40 , 30.79 , 77.88 , 51.54 
48,Suriname, 8.48 , 18.12 , 46.80 , 28.49 , 71.25 , 40.66 
49,Guinea, 8.42 , 12.03 , 70.01 , 54.27 , 89.58 , 66.17 
50,Netherlands, 8.41 , 30.57 , 27.49 , 14.66 , 41.43 , 26.40 
51,Kyrgyzstan, 8.27 , 16.63 , 49.75 , 27.01 , 76.55 , 45.70 
52,Mauritania, 8.19 , 12.47 , 65.65 , 48.01 , 86.02 , 62.93 
53,Nigeria, 8.19 , 12.06 , 67.92 , 54.38 , 87.86 , 61.53 
54,Malawi, 8.13 , 12.34 , 65.88 , 57.68 , 83.92 , 56.05 
55,Sudan, 7.97 , 11.86 , 67.20 , 51.77 , 92.57 , 57.25 
56,United Republic of Tanzania, 7.96 , 12.01 , 66.27 , 62.92 , 83.34 , 52.53 
57,Bhutan, 7.84 , 14.81 , 52.93 , 31.60 , 75.10 , 52.10 
58,Liberia, 7.84 , 10.96 , 71.52 , 63.51 , 84.80 , 66.24 
59,Algeria, 7.76 , 15.82 , 49.04 , 23.06 , 77.42 , 46.65 
60,Ecuador, 7.66 , 16.15 , 47.45 , 27.80 , 74.66 , 39.89 
61,Swaziland, 7.64 , 12.76 , 59.91 , 45.62 , 80.72 , 53.37 
62,Trinidad and Tobago, 7.56 , 17.54 , 43.12 , 19.28 , 69.04 , 41.03 
63,Sri Lanka, 7.52 , 14.79 , 50.83 , 26.15 , 78.80 , 47.54 
64,Zambia, 7.46 , 11.37 , 65.67 , 62.31 , 80.34 , 54.36 
65,Ethiopia, 7.45 , 11.12 , 67.01 , 56.80 , 81.73 , 62.51 
