Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
1,Vanuatu, 49.74 , 86.77 , 57.32 , 38.81 , 52.42 , 80.73 
2,Tonga, 29.72 , 61.21 , 48.56 , 28.76 , 37.08 , 79.85 
3,Dominica, 28.47 , 62.74 , 45.38 , 26.12 , 38.82 , 71.21 
4,Antigua and Barbuda, 27.44 , 68.92 , 39.82 , 23.33 , 32.83 , 63.31 
5,Solomon Islands, 24.25 , 40.04 , 60.56 , 45.75 , 54.73 , 81.21 
6,Guyana, 22.73 , 44.92 , 50.60 , 27.13 , 47.13 , 77.55 
7,Brunei Darussalam, 22.30 , 57.61 , 38.70 , 14.75 , 33.35 , 67.99 
8,Papua New Guinea, 21.12 , 30.79 , 68.58 , 55.66 , 63.85 , 86.23 
9,Philippines, 20.96 , 42.30 , 49.55 , 28.97 , 39.32 , 80.37 
10,Guatemala, 20.09 , 36.52 , 55.02 , 33.09 , 46.76 , 85.21 
11,Cape Verde, 17.73 , 37.23 , 47.61 , 29.35 , 40.65 , 72.84 
12,Costa Rica, 17.25 , 43.49 , 39.67 , 20.03 , 30.08 , 68.89 
13,Bangladesh, 16.40 , 28.28 , 57.98 , 33.21 , 54.91 , 85.81 
14,Djibouti, 16.23 , 26.79 , 60.60 , 37.81 , 59.59 , 84.39 
15,Fiji, 16.00 , 34.63 , 46.21 , 21.98 , 40.40 , 76.24 
16,Cambodia, 15.76 , 26.80 , 58.82 , 38.94 , 50.57 , 86.94 
17,El Salvador, 15.33 , 31.69 , 48.39 , 24.67 , 42.44 , 78.05 
18,Kiribati, 14.94 , 26.05 , 57.36 , 39.27 , 50.04 , 82.77 
19,Comoros, 14.88 , 23.77 , 62.60 , 46.02 , 57.34 , 84.45 
20,Nicaragua, 14.67 , 25.67 , 57.15 , 32.00 , 56.18 , 83.26 
20,Timor-Leste, 14.67 , 25.85 , 56.74 , 42.33 , 51.41 , 76.49 
22,Haiti, 14.62 , 21.43 , 68.23 , 51.15 , 63.15 , 90.40 
23,Niger, 13.85 , 19.26 , 71.90 , 60.64 , 67.19 , 87.87 
24,Guinea-Bissau, 13.32 , 18.86 , 70.64 , 60.23 , 62.26 , 89.43 
25,Nigeria, 13.09 , 19.66 , 66.56 , 49.50 , 61.95 , 88.22 
26,Cameroon, 12.97 , 20.34 , 63.79 , 47.71 , 54.97 , 88.70 
27,Uruguay, 12.54 , 36.29 , 34.56 , 19.23 , 30.60 , 53.85 
28,Gambia, 12.44 , 19.70 , 63.14 , 43.66 , 62.44 , 83.32 
29,Jamaica, 12.08 , 26.05 , 46.39 , 25.14 , 39.50 , 74.52 
30,Chile, 12.05 , 33.41 , 36.07 , 17.83 , 28.02 , 62.35 
31,Chad, 11.83 , 15.71 , 75.32 , 64.54 , 68.94 , 92.49 
32,Dominican Republic, 11.57 , 24.85 , 46.57 , 24.03 , 37.46 , 78.23 
