Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
1,Vanuatu, 56.71 , 99.88 , 56.78 , 35.32 , 84.36 , 50.66 
2,Antigua and Barbuda, 30.80 , 69.95 , 44.03 , 23.38 , 76.65 , 32.05 
3,Tonga, 29.39 , 61.41 , 47.86 , 28.19 , 79.92 , 35.47 
4,Solomon Islands, 29.36 , 48.31 , 60.77 , 46.37 , 80.95 , 55.00 
5,Guyana, 22.87 , 44.98 , 50.84 , 26.41 , 79.68 , 46.44 
6,Papua New Guinea, 22.18 , 32.54 , 68.18 , 55.45 , 86.21 , 62.88 
7,Brunei Darussalam, 21.68 , 57.62 , 37.62 , 15.26 , 67.14 , 30.45 
8,Guatemala, 20.69 , 38.56 , 53.65 , 32.19 , 83.96 , 44.80 
9,Philippines, 20.69 , 41.93 , 49.34 , 28.86 , 80.98 , 38.17 
10,Bangladesh, 18.78 , 32.48 , 57.83 , 32.93 , 86.13 , 54.44 
11,Cape Verde, 18.02 , 38.26 , 47.10 , 31.13 , 67.63 , 42.54 
12,Fiji, 17.83 , 38.43 , 46.41 , 21.54 , 78.76 , 38.93 
13,Costa Rica, 17.37 , 44.92 , 38.67 , 19.15 , 68.84 , 28.03 
14,Djibouti, 16.46 , 27.04 , 60.87 , 39.36 , 84.39 , 58.87 
15,Timor-Leste, 16.39 , 27.92 , 58.71 , 46.43 , 78.84 , 50.85 
16,Haiti, 16.34 , 24.18 , 67.56 , 50.37 , 90.28 , 62.03 
17,Cambodia, 15.13 , 26.82 , 56.42 , 40.89 , 78.92 , 49.45 
18,El Salvador, 15.11 , 31.87 , 47.43 , 24.44 , 77.65 , 40.19 
19,Kiribati, 14.64 , 25.52 , 57.37 , 40.53 , 82.56 , 49.02 
20,Comoros, 14.63 , 23.54 , 62.12 , 44.85 , 83.84 , 57.67 
21,Nicaragua, 13.78 , 25.95 , 53.11 , 30.35 , 82.88 , 46.11 
22,Niger, 13.77 , 19.30 , 71.34 , 59.92 , 87.51 , 66.60 
23,Guinea-Bissau, 13.32 , 18.92 , 70.42 , 58.48 , 90.58 , 62.19 
24,Nigeria, 13.11 , 20.24 , 64.76 , 50.35 , 88.20 , 55.73 
25,Cameroon, 12.87 , 20.32 , 63.33 , 45.68 , 89.54 , 54.78 
26,Uruguay, 12.52 , 36.03 , 34.76 , 18.82 , 56.57 , 28.88 
27,Chile, 12.45 , 34.32 , 36.29 , 17.87 , 62.77 , 28.22 
28,Benin, 12.33 , 18.82 , 65.52 , 54.64 , 81.39 , 60.52 
29,Gambia, 12.06 , 19.46 , 61.99 , 42.00 , 83.43 , 60.53 
30,Jamaica, 11.91 , 26.18 , 45.51 , 24.60 , 74.70 , 37.22 
31,Chad, 11.90 , 15.92 , 74.78 , 63.36 , 93.02 , 67.97 
32,Dominican Republic, 11.72 , 25.39 , 46.18 , 24.59 , 77.59 , 36.36 
33,Honduras, 11.39 , 21.43 , 53.14 , 31.76 , 83.48 , 44.18 
34,Burkina Faso, 11.14 , 16.59 , 67.14 , 55.81 , 83.45 , 62.15 
35,Togo, 10.99 , 16.72 , 65.72 , 55.55 , 86.23 , 55.38 
36,Mali, 10.73 , 15.69 , 68.38 , 50.54 , 87.72 , 66.88 
37,Indonesia, 10.58 , 21.20 , 49.93 , 26.63 , 79.71 , 43.44 
38,Angola, 10.56 , 15.93 , 66.30 , 52.85 , 88.46 , 57.58 
39,Madagascar, 10.49 , 15.12 , 69.37 , 65.61 , 86.50 , 56.00 
40,Viet Nam, 10.31 , 22.03 , 46.83 , 25.07 , 77.68 , 37.75 
41,Kenya, 10.30 , 16.53 , 62.32 , 50.32 , 86.92 , 49.72 
42,Burundi, 10.29 , 14.81 , 69.47 , 61.05 , 91.13 , 56.24 
43,Cote d'Ivoire, 10.03 , 15.55 , 64.52 , 47.18 , 86.12 , 60.27 
44,Senegal, 9.82 , 16.48 , 59.59 , 44.89 , 79.89 , 53.97 
45,Sierra Leone, 9.61 , 13.70 , 70.16 , 56.94 , 86.52 , 67.02 
46,Mozambique, 9.50 , 13.50 , 70.44 , 64.80 , 88.05 , 58.46 
47,Mauritius, 9.47 , 23.88 , 39.66 , 17.34 , 64.99 , 36.65 
48,Liberia, 9.46 , 13.57 , 69.69 , 55.96 , 86.26 , 66.86 
49,Trinidad and Tobago, 9.44 , 23.28 , 40.56 , 19.00 , 69.59 , 33.09 
50,Ghana, 9.41 , 16.54 , 56.87 , 41.92 , 79.40 , 49.29 
51,United Republic of Tanzania, 9.23 , 14.40 , 64.14 , 58.01 , 83.58 , 50.84 
52,Zimbabwe, 9.21 , 14.72 , 62.58 , 50.30 , 89.12 , 48.34 
53,Afghanistan, 9.21 , 13.73 , 67.11 , 49.21 , 92.36 , 59.75 
54,Japan, 9.19 , 38.94 , 23.60 , 16.80 , 39.90 , 14.11 
55,Malawi, 8.94 , 13.43 , 66.61 , 57.84 , 84.38 , 57.62 
56,Democratic Rep. of Congo, 8.80 , 11.95 , 73.63 , 67.13 , 92.56 , 61.21 
57,Uganda, 8.71 , 12.85 , 67.81 , 63.19 , 88.75 , 51.49 
58,Guinea, 8.68 , 12.76 , 68.03 , 51.23 , 89.33 , 63.53 
59,Sudan, 8.52 , 13.14 , 64.87 , 46.04 , 92.62 , 55.94 
60,Ecuador, 8.48 , 18.29 , 46.37 , 24.88 , 77.77 , 36.46 
61,Albania, 8.18 , 20.23 , 40.43 , 18.75 , 74.29 , 28.24 
62,Belize, 8.02 , 17.14 , 46.78 , 27.21 , 74.19 , 38.96 
63,Uzbekistan, 7.90 , 16.31 , 48.44 , 31.29 , 76.28 , 37.76 
64,Zambia, 7.83 , 12.44 , 62.98 , 59.66 , 83.24 , 46.03 
65,Ethiopia, 7.79 , 11.67 , 66.76 , 56.30 , 87.13 , 56.85 
66,Central African Republic, 7.75 , 10.18 , 76.13 , 70.46 , 90.84 , 67.09 
67,Mauritania, 7.72 , 12.29 , 62.82 , 39.25 , 87.72 , 61.48 
68,Panama, 7.70 , 17.73 , 43.44 , 24.19 , 71.81 , 34.32 
69,Venezuela, 7.68 , 16.25 , 47.25 , 23.59 , 84.96 , 33.20 
70,Algeria, 7.66 , 16.76 , 45.71 , 20.88 , 78.35 , 37.89 
71,Malaysia, 7.61 , 18.73 , 40.63 , 16.75 , 72.63 , 32.52 
72,Fed. States of Micronesia, 7.52 , 14.72 , 51.05 , 34.11 , 72.11 , 46.93 
73,Sri Lanka, 7.50 , 16.01 , 46.87 , 22.30 , 78.38 , 39.94 
74,Equatorial Guinea, 7.48 , 13.13 , 56.98 , 41.38 , 86.46 , 43.10 
75,Rwanda, 7.45 , 12.31 , 60.54 , 52.44 , 79.36 , 49.81 
76,Suriname, 7.36 , 15.29 , 48.17 , 29.24 , 74.11 , 41.16 
77,Netherlands, 7.35 , 31.73 , 23.15 , 14.20 , 41.53 , 13.71 
78,Kyrgyzstan, 7.28 , 16.76 , 43.46 , 23.94 , 76.03 , 30.40 
79,Myanmar, 7.27 , 12.91 , 56.34 , 32.54 , 86.37 , 50.11 
80,Pakistan, 7.08 , 12.53 , 56.52 , 33.08 , 84.85 , 51.62 
81,Congo, 7.05 , 10.90 , 64.71 , 55.29 , 88.56 , 50.30 
82,Eritrea, 6.94 , 9.59 , 72.30 , 66.37 , 89.27 , 61.26 
83,Greece, 6.89 , 22.82 , 30.18 , 16.94 , 57.68 , 15.92 
84,Lesotho, 6.89 , 11.16 , 61.74 , 48.53 , 81.65 , 55.04 
85,India, 6.77 , 12.58 , 53.82 , 34.61 , 78.45 , 48.40 
86,Gabon, 6.74 , 13.05 , 51.68 , 32.73 , 75.74 , 46.56 
87,Peru, 6.65 , 14.81 , 44.90 , 25.81 , 77.96 , 30.93 
88,Montenegro, 6.62 , 17.80 , 37.18 , 17.49 , 67.97 , 26.06 
89,Colombia, 6.59 , 14.74 , 44.72 , 23.24 , 77.66 , 33.27 
90,Swaziland, 6.49 , 11.13 , 58.28 , 43.12 , 82.25 , 49.47 
91,Thailand, 6.48 , 14.75 , 43.93 , 17.73 , 79.23 , 34.84 
92,South Africa, 6.40 , 13.55 , 47.27 , 31.42 , 73.56 , 36.83 
93,Tajikistan, 6.24 , 13.01 , 47.98 , 32.66 , 77.19 , 34.10 
94,Samoa, 6.19 , 13.04 , 47.50 , 25.52 , 79.70 , 37.27 
95,Mexico, 6.01 , 14.18 , 42.34 , 20.74 , 75.85 , 30.43 
96,Iraq, 5.95 , 10.54 , 56.47 , 29.82 , 88.53 , 51.04 
97,Syrian Arab Republic, 5.92 , 10.80 , 54.80 , 26.09 , 90.32 , 47.98 
98,China, 5.84 , 14.41 , 40.52 , 21.86 , 72.67 , 27.05 
99,Morocco, 5.83 , 12.23 , 47.66 , 25.53 , 78.88 , 38.58 
100,Namibia, 5.82 , 11.39 , 51.14 , 41.85 , 73.47 , 38.08 
101,The former Yugo. Rep. of Macedonia, 5.81 , 14.67 , 39.63 , 19.48 , 69.87 , 29.55 
102,Tunisia, 5.74 , 13.06 , 43.99 , 20.69 , 75.48 , 35.79 
103,Azerbaijan, 5.73 , 14.48 , 39.59 , 17.01 , 72.66 , 29.11 
104,Armenia, 5.72 , 14.69 , 38.96 , 19.63 , 71.10 , 26.14 
105,Cuba, 5.70 , 16.49 , 34.56 , 18.73 , 55.48 , 29.46 
106,Turkmenistan, 5.69 , 12.33 , 46.18 , 28.78 , 72.91 , 36.85 
107,Romania, 5.65 , 15.37 , 36.79 , 19.60 , 62.78 , 27.97 
108,Yemen, 5.50 , 8.03 , 68.47 , 42.32 , 94.14 , 68.95 
109,Georgia, 5.48 , 14.08 , 38.93 , 23.10 , 64.14 , 29.55 
110,Lebanon, 5.27 , 11.70 , 45.01 , 19.45 , 78.52 , 37.04 
111,Serbia, 5.17 , 13.50 , 38.32 , 19.51 , 69.34 , 26.11 
112,Seychelles, 5.17 , 12.50 , 41.38 , 17.77 , 66.74 , 39.62 
113,Turkey, 5.06 , 12.30 , 41.11 , 17.91 , 75.19 , 30.23 
114,Hungary, 4.94 , 15.29 , 32.33 , 15.47 , 58.25 , 23.27 
115,Iran, 4.92 , 11.04 , 44.58 , 19.62 , 81.72 , 32.40 
116,Nepal, 4.92 , 8.71 , 56.48 , 35.99 , 84.60 , 48.85 
117,Bolivia, 4.91 , 9.62 , 51.05 , 34.06 , 82.35 , 36.74 
118,Brazil, 4.79 , 11.34 , 42.28 , 21.79 , 74.74 , 30.29 
119,Bosnia and Herzegovina, 4.71 , 11.22 , 41.98 , 18.05 , 74.10 , 33.80 
120,New Zealand, 4.67 , 17.72 , 26.35 , 15.45 , 45.06 , 18.53 
121,Italy, 4.57 , 15.14 , 30.21 , 16.58 , 59.76 , 14.29 
122,Lao People’s Democratic Rep., 4.53 , 8.19 , 55.25 , 33.22 , 82.94 , 49.58 
123,Saint Lucia, 4.52 , 10.24 , 44.15 , 21.72 , 75.19 , 35.55 
124,Australia, 4.49 , 18.13 , 24.78 , 14.84 , 43.65 , 15.85 
125,Kuwait, 4.49 , 12.49 , 35.96 , 13.54 , 70.13 , 24.22 
126,Ireland, 4.37 , 16.75 , 26.10 , 15.14 , 47.87 , 15.28 
127,Bahamas, 4.31 , 11.85 , 36.36 , 18.31 , 58.71 , 32.05 
128,Botswana, 4.28 , 8.77 , 48.79 , 36.76 , 72.04 , 37.58 
129,Bulgaria, 4.08 , 11.87 , 34.40 , 20.00 , 60.47 , 22.74 
130,Jordan, 4.08 , 9.23 , 44.23 , 22.97 , 70.51 , 39.22 
131,Republic of Moldova, 3.98 , 9.60 , 41.41 , 22.66 , 68.94 , 32.64 
132,Croatia, 3.96 , 12.03 , 32.94 , 16.54 , 62.20 , 20.09 
133,United States, 3.76 , 13.20 , 28.46 , 15.20 , 50.52 , 19.67 
134,United Arab Emirates, 3.66 , 11.07 , 33.10 , 9.47 , 63.26 , 26.58 
135,Kazakhstan, 3.56 , 9.59 , 37.16 , 17.12 , 67.17 , 27.20 
136,Argentina, 3.53 , 9.59 , 36.78 , 19.76 , 61.81 , 28.75 
137,Russia, 3.52 , 9.59 , 36.74 , 18.04 , 66.12 , 26.07 
138,Spain, 3.46 , 11.75 , 29.42 , 15.74 , 57.26 , 15.25 
139,Portugal, 3.44 , 11.60 , 29.70 , 16.53 , 52.07 , 20.50 
140,Slovenia, 3.34 , 11.62 , 28.77 , 14.46 , 55.95 , 15.90 
141,Libyan Arab Jamahiriya, 3.34 , 7.37 , 45.32 , 21.34 , 82.09 , 32.53 
142,Paraguay, 3.32 , 7.05 , 47.11 , 23.56 , 79.18 , 38.58 
143,Bhutan, 3.31 , 6.89 , 48.03 , 24.51 , 72.93 , 46.65 
144,United Kingdom, 3.30 , 12.60 , 26.17 , 15.72 , 47.21 , 15.58 
145,Israel, 3.24 , 9.51 , 34.02 , 18.59 , 64.42 , 19.03 
146,Slovakia, 3.20 , 10.08 , 31.73 , 14.10 , 58.87 , 22.23 
147,"Korea, Republic of", 3.08 , 11.32 , 27.20 , 13.06 , 51.36 , 17.18 
148,Canada, 3.03 , 10.38 , 29.14 , 14.72 , 57.36 , 15.35 
149,Mongolia, 3.00 , 7.11 , 42.24 , 28.94 , 64.10 , 33.68 
150,Czech Republic, 2.99 , 10.77 , 27.80 , 14.42 , 50.91 , 18.07 
151,Poland, 2.97 , 9.50 , 31.27 , 15.35 , 58.44 , 20.02 
152,Latvia, 2.93 , 8.86 , 33.01 , 17.83 , 58.51 , 22.70 
153,Bahrain, 2.89 , 7.32 , 39.51 , 15.26 , 77.04 , 26.24 
154,Austria, 2.87 , 13.18 , 21.75 , 13.63 , 39.27 , 12.34 
155,Cyprus, 2.87 , 8.55 , 33.52 , 14.58 , 64.51 , 21.45 
156,Belgium, 2.79 , 11.42 , 24.39 , 14.29 , 45.26 , 13.61 
157,Oman, 2.74 , 6.74 , 40.63 , 22.51 , 67.72 , 31.66 
158,Ukraine, 2.66 , 6.92 , 38.50 , 17.75 , 66.96 , 30.78 
159,Denmark, 2.65 , 11.79 , 22.49 , 14.50 , 40.32 , 12.65 
160,Belarus, 2.59 , 7.84 , 33.00 , 16.30 , 58.86 , 23.83 
161,Singapore, 2.51 , 9.00 , 27.93 , 11.59 , 54.21 , 17.99 
162,São Tomé and Príncipe, 2.49 , 4.53 , 54.93 , 43.21 , 76.00 , 45.58 
163,Germany, 2.43 , 11.51 , 21.11 , 14.30 , 36.44 , 12.60 
164,France, 2.37 , 9.57 , 24.79 , 16.15 , 44.30 , 13.93 
165,Luxembourg, 2.36 , 9.58 , 24.67 , 11.91 , 46.03 , 16.07 
166,Norway, 2.34 , 10.60 , 22.06 , 13.29 , 39.21 , 13.68 
167,Lithuania, 2.29 , 7.66 , 29.87 , 17.41 , 52.84 , 19.36 
168,Sweden, 2.20 , 8.84 , 24.95 , 15.03 , 45.31 , 14.49 
169,Maldives, 2.08 , 4.92 , 42.18 , 19.58 , 70.65 , 36.29 
170,Switzerland, 2.05 , 9.00 , 22.73 , 13.43 , 39.05 , 15.73 
171,Estonia, 2.04 , 6.78 , 30.06 , 16.40 , 53.77 , 20.00 
172,Finland, 1.94 , 8.34 , 23.32 , 15.03 , 40.28 , 14.65 
173,Egypt, 1.84 , 3.91 , 46.98 , 21.45 , 82.57 , 36.92 
174,Iceland, 1.71 , 7.16 , 23.88 , 13.82 , 46.66 , 11.16 
175,Barbados, 1.35 , 3.67 , 36.86 , 20.58 , 58.31 , 31.68 
176,Saudi Arabia, 1.04 , 2.91 , 35.85 , 13.31 , 69.44 , 24.79 
177,Grenada, 1.01 , 2.26 , 44.58 , 28.05 , 70.49 , 35.20 
178,St. Vincent and the Grenadines, 0.80 , 1.88 , 42.86 , 27.70 , 70.92 , 29.95 
179,Malta, 0.54 , 1.91 , 28.14 , 14.24 , 52.44 , 17.75 
180,Qatar, 0.31 , 0.90 , 34.35 , 8.75 , 66.29 , 28.01 
