Rank,Country,WorldRiskIndex,Exposure,Vulnerability,Susceptibility,Lack of Coping Capacities,Lack of Adaptive Capacities
1,Vanuatu, 50.28 , 86.46 , 58.15 , 36.07 , 86.37 , 52.00 
2,Tonga, 29.42 , 55.92 , 52.61 , 28.93 , 80.06 , 48.82 
3,Philippines, 25.14 , 49.94 , 50.33 , 29.58 , 81.57 , 39.83 
4,Solomon Islands, 23.29 , 37.81 , 61.59 , 47.28 , 82.30 , 55.19 
5,Guyana, 23.23 , 45.56 , 50.98 , 27.33 , 77.36 , 48.25 
6,Papua New Guinea, 20.88 , 31.05 , 67.24 , 55.58 , 83.80 , 62.35 
7,Guatemala, 20.60 , 38.50 , 53.50 , 32.98 , 81.35 , 46.17 
8,Brunei Darussalam, 18.82 , 52.71 , 35.71 , 14.80 , 61.50 , 30.83 
9,Bangladesh, 17.38 , 29.95 , 58.03 , 33.72 , 84.96 , 55.42 
10,Fiji, 16.58 , 35.51 , 46.68 , 22.33 , 75.48 , 42.24 
11,Costa Rica, 16.56 , 44.27 , 37.41 , 20.42 , 62.19 , 29.61 
12,Cambodia, 16.07 , 27.13 , 59.22 , 40.97 , 86.03 , 50.67 
13,Timor-Leste, 16.05 , 26.96 , 59.56 , 45.22 , 78.69 , 54.76 
14,El Salvador, 15.95 , 33.46 , 47.65 , 25.63 , 75.86 , 41.46 
15,Kiribati, 15.42 , 26.37 , 58.47 , 41.64 , 82.61 , 51.15 
16,Mauritius, 14.27 , 37.22 , 38.35 , 17.69 , 59.26 , 38.09 
17,Nicaragua, 13.99 , 26.27 , 53.25 , 31.45 , 80.21 , 48.11 
18,Djibouti, 13.90 , 21.87 , 63.54 , 40.03 , 83.52 , 67.05 
19,Guinea-Bissau, 13.40 , 18.70 , 71.67 , 59.88 , 89.59 , 65.53 
20,Chad, 11.88 , 15.90 , 74.70 , 63.09 , 91.51 , 69.49 
21,Haiti, 11.86 , 17.20 , 68.99 , 51.38 , 90.35 , 65.24 
22,Cameroon, 11.81 , 18.76 , 62.96 , 46.79 , 85.60 , 56.49 
23,Cape Verde, 11.52 , 23.33 , 49.38 , 32.44 , 68.74 , 46.98 
24,Sierra Leone, 11.49 , 16.23 , 70.80 , 58.67 , 85.70 , 68.02 
25,Viet Nam, 11.35 , 24.17 , 46.98 , 25.54 , 75.22 , 40.17 
26,Niger, 11.34 , 15.48 , 73.23 , 60.69 , 86.50 , 72.52 
27,Jamaica, 11.22 , 24.83 , 45.19 , 25.23 , 70.21 , 40.13 
28,Chile, 11.15 , 31.84 , 35.02 , 18.70 , 59.01 , 27.37 
29,Japan, 11.08 , 46.55 , 23.81 , 17.60 , 38.39 , 15.43 
30,Benin, 11.04 , 16.65 , 66.28 , 55.66 , 80.76 , 62.43 
31,Gambia, 10.92 , 17.15 , 63.65 , 44.23 , 84.35 , 62.37 
32,Madagascar, 10.89 , 15.63 , 69.68 , 66.53 , 84.72 , 57.80 
33,Dominican Republic, 10.77 , 23.44 , 45.94 , 25.77 , 73.79 , 38.26 
34,Senegal, 10.51 , 17.25 , 60.92 , 46.48 , 79.31 , 56.96 
35,Afghanistan, 10.45 , 15.48 , 67.53 , 49.23 , 91.64 , 61.71 
36,Indonesia, 10.36 , 20.57 , 50.38 , 27.20 , 78.42 , 45.51 
37,Angola, 10.31 , 15.71 , 65.63 , 51.61 , 86.27 , 59.02 
38,Zimbabwe, 10.23 , 16.14 , 63.36 , 51.77 , 88.39 , 49.92 
39,Honduras, 10.19 , 19.20 , 53.07 , 32.66 , 81.30 , 45.26 
40,Burkina Faso, 9.82 , 14.48 , 67.79 , 56.48 , 82.47 , 64.43 
41,Mali, 9.61 , 14.01 , 68.58 , 51.38 , 85.27 , 69.09 
42,Mozambique, 9.52 , 13.37 , 71.19 , 64.91 , 86.34 , 62.33 
43,Sudan, 9.41 , 14.89 , 63.18 , 46.46 , 85.22 , 57.87 
44,Togo, 9.35 , 14.19 , 65.84 , 56.01 , 84.11 , 57.40 
45,Albania, 9.22 , 22.83 , 40.38 , 19.39 , 71.57 , 30.18 
46,United Republic of Tanzania, 9.01 , 13.94 , 64.66 , 58.69 , 82.20 , 53.10 
47,Burundi, 8.99 , 12.86 , 69.87 , 62.08 , 88.61 , 58.92 
48,Mauritania, 8.53 , 13.39 , 63.71 , 38.94 , 86.62 , 65.56 
49,Liberia, 8.52 , 11.92 , 71.49 , 58.10 , 85.68 , 70.69 
50,Ghana, 8.43 , 14.53 , 58.04 , 43.74 , 78.79 , 51.57 
51,Comoros, 8.36 , 13.13 , 63.67 , 47.48 , 84.06 , 59.46 
52,Nigeria, 8.34 , 12.56 , 66.43 , 50.27 , 87.46 , 61.56 
53,Cote d'Ivoire, 8.28 , 12.83 , 64.53 , 47.49 , 83.86 , 62.24 
54,Lesotho, 8.20 , 13.12 , 62.54 , 50.15 , 80.26 , 57.22 
55,Ecuador, 8.10 , 17.63 , 45.94 , 26.22 , 73.78 , 37.83 
56,Malawi, 8.02 , 11.92 , 67.27 , 58.70 , 83.80 , 59.32 
57,Guinea, 7.99 , 11.67 , 68.49 , 51.16 , 88.72 , 65.57 
58,Uzbekistan, 7.99 , 16.37 , 48.78 , 30.55 , 76.12 , 39.67 
59,Trinidad and Tobago, 7.86 , 20.45 , 38.43 , 18.68 , 64.79 , 31.82 
60,Belize, 7.73 , 16.85 , 45.89 , 27.98 , 68.17 , 41.51 
61,Sri Lanka, 7.65 , 16.01 , 47.81 , 24.62 , 76.44 , 42.38 
62,Bhutan, 7.56 , 15.48 , 48.82 , 25.59 , 72.29 , 48.57 
63,Algeria, 7.54 , 16.50 , 45.69 , 21.13 , 76.93 , 39.01 
64,Myanmar, 7.49 , 13.30 , 56.29 , 33.74 , 85.23 , 49.90 
65,Netherlands, 7.45 , 31.86 , 23.39 , 15.07 , 40.89 , 14.20 
66,Panama, 7.28 , 17.26 , 42.21 , 25.24 , 66.03 , 35.36 
67,Kyrgyzstan, 7.25 , 16.40 , 44.21 , 25.17 , 75.22 , 32.25 
68,Suriname, 7.20 , 15.56 , 46.23 , 29.49 , 68.70 , 40.51 
69,Ethiopia, 7.15 , 10.47 , 68.24 , 58.38 , 86.64 , 59.71 
70,Rwanda, 7.10 , 11.47 , 61.95 , 55.40 , 78.67 , 51.76 
71,Venezuela, 7.03 , 15.27 , 46.06 , 23.87 , 76.88 , 37.43 
72,Kenya, 7.00 , 11.01 , 63.56 , 52.69 , 84.92 , 53.08 
73,Uganda, 6.90 , 10.19 , 67.77 , 62.73 , 87.47 , 53.10 
74,Zambia, 6.88 , 10.92 , 63.01 , 60.65 , 80.57 , 47.80 
75,India, 6.83 , 12.47 , 54.78 , 35.16 , 79.11 , 50.08 
